Results for year 2016-2017:
39 Very High 88.10538461538464
146 Mid High 72.1991095890411
48 Very High 83.83770833333331
122 Mid High 72.32286885245897
37 Very High 84.64027027027025
26 Very High 87.39923076923077
45 Mid High 73.48177777777776

Results for year 2007-08
23 Very High 87.9782608695652
180 Mid Low 58.23611111111113
52 Mid High 72.55961538461538
131 Mid High 71.87175572519085
5 Very High 83.03999999999999
26 Mid High 71.26153846153845
